id,name,city,room_type,host_type,badges,price_str,price_eur,rating_str,rating,nb_reviews,is_new_listing,person_capacity,latitude,longitude
RGVtYW5kU3RheUxpc3Rpbmc6MTYzMzE1ODU1NjYxOTc2Mjk1Nw==,Studio indépendant au calme absolu,Colombes,Hébergement,Particulier,Annulation gratuite,433 €,433.0,"5,0 (6)",5.0,6.0,False,,48.91634,2.25699
RGVtYW5kU3RheUxpc3Rpbmc6NDAxNjY5Mzg=,Chambre à Paris 12e,Paris,Chambre,,Annulation gratuite,602 €,602.0,"4,86 (37)",4.86,37.0,False,,48.8366,2.3826
RGVtYW5kU3RheUxpc3Rpbmc6NDE3NDYzOTc=,"Appartement tout équipé, cosy (1 station de Paris)",Saint-Denis,Appartement,Professionnel,Annulation gratuite,491 €,491.0,"4,83 (513)",4.83,513.0,False,,48.9071,2.3623
RGVtYW5kU3RheUxpc3Rpbmc6MTY1NTc2MjA1NTQyODU0MzA4MA==,Cosy Appartement du Parc des Expositions/Tour Eiff,Paris,Appartement,Professionnel,Annulation gratuite,854 €,854.0,Nouveau,,,True,,48.83332,2.29644
RGVtYW5kU3RheUxpc3Rpbmc6MTU4MDQzMTI0MTM2MTM2OTY2Ng==,Chambre avec terrasse vue tour eiffel,Saint-Denis,Hébergement,Particulier,Annulation gratuite,533 €,533.0,,,,False,,48.91657,2.36656
RGVtYW5kU3RheUxpc3Rpbmc6NzMxMTA0NTM1MjQ3ODU3NTcz,Un superbe appart ⁵⁰m² cœur de Neuilly.,Neuilly-sur-Seine,Appartement,Particulier,Annulation gratuite,698 €,698.0,"4,9 (177)",4.9,177.0,False,,48.8843,2.2586
RGVtYW5kU3RheUxpc3Rpbmc6MTYzOTMxMDM0MTU1Njk3OTIwMA==,Apparemment Cosy et Design aux Batignolles,Paris,Appartement,Particulier,Annulation gratuite,,,"5,0 (4)",5.0,4.0,False,,48.88412,2.32132
RGVtYW5kU3RheUxpc3Rpbmc6MTYzNzYxMjE2MzYwNzU4NTM3OQ==,Appartement cosy à 5 min de Montmartre,Paris,Appartement,Professionnel,Annulation gratuite,770 €,770.0,Nouveau,,,True,,48.88306,2.34949
RGVtYW5kU3RheUxpc3Rpbmc6MTA3NDk0MTc4NjU5NDE5MDQ3MA==,Chambre et salle de bains privées,Rueil-Malmaison,Chambre d'hôtes,Particulier,Annulation gratuite,390 €,390.0,"4,97 (232)",4.97,232.0,False,,48.8837,2.17996
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NDE1NzEyNzcxNzcwMzQzOA==,Appartement parisien chic – À quelques pas de la tour Eiffel,Paris,Appartement,Particulier,,,,"5,0 (3)",5.0,3.0,False,,48.84871,2.29416
RGVtYW5kU3RheUxpc3Rpbmc6MTU4OTAxNTczMDE4NDM1NTc4NQ==,Studio Paris 15 Tour Eiffel - Parc des expositions,Paris,Appartement,Particulier,,,,"5,0 (3)",5.0,3.0,False,,48.84349,2.30291
RGVtYW5kU3RheUxpc3Rpbmc6MTY1MTU1Mjg1ODg2MTc4MTIyMw==,"Suite Thellon : 10min de Paris, Vue Panoramique",Gennevilliers,Appartement,Professionnel,Annulation gratuite,1 083 €,1083.0,"5,0 (3)",5.0,3.0,False,,48.91619,2.3061
RGVtYW5kU3RheUxpc3Rpbmc6MTY1NTYzMTQzNDcwODY3MDE0Mw==,"Studio neuf & lumineux proche Paris, à 2 pas métro",Clichy,Appartement,Particulier,,509 €,509.0,"5,0 (3)",5.0,3.0,False,,48.90384,2.30099
RGVtYW5kU3RheUxpc3Rpbmc6MTM0MzQ0MDA1NjY0ODcwMDQ3MA==,Arc de Triomphe : SUITE Émeraude jacuzzi,Paris,Appartement,Professionnel,,,,"4,96 (115)",4.96,115.0,False,,48.8768,2.28594
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NTAyMDA3MTg3NzMwNjc2MA==,Saint-Mandé-Place du marché,Saint-Mandé,Appartement,Particulier,,,,"5,0 (3)",5.0,3.0,False,,48.8384,2.4171
RGVtYW5kU3RheUxpc3Rpbmc6MTY0ODQ5MzYwNTQ2NzU0MDYxOQ==,"Chambre cosy à Boulogne, à 50 m du métro !",Boulogne-Billancourt,Hébergement,Particulier,,472 €,472.0,"5,0 (4)",5.0,4.0,False,,48.83129,2.23082
RGVtYW5kU3RheUxpc3Rpbmc6NTkzMTc5NTY0ODI0Njc0MjE3,Le Cosy Studio de la Défense Arena,Nanterre,Appartement en résidence,Particulier,,658 €,658.0,"4,83 (179)",4.83,179.0,False,,48.8923,2.2236
